Year Gene BinFreq NS S ProportionNS NumVariants
within-host 5-NP 0.1 3 8 0.272727272727273 11
within-host 6-NA 0.1 18 2 0.9 20
within-host 7-M1 0.1 4 2 0.666666666666667 6
within-host 7-M2 0.1 1 0 1 1
within-host 8-NEP 0.1 6 1 0.857142857142857 7
within-host 8-NS1 0.1 5 0 1 5
within-host 1-PB2 0.316227766016838 1 8 0.111111111111111 9
within-host 2-PB1 0.316227766016838 1 9 0.1 10
within-host 3-PA 0.316227766016838 2 3 0.4 5
within-host 4-HA 0.316227766016838 3 4 0.428571428571429 7
within-host 5-NP 0.316227766016838 4 2 0.666666666666667 6
within-host 6-NA 0.316227766016838 11 0 1 11
within-host 7-M1 0.316227766016838 4 2 0.666666666666667 6
within-host 7-M2 0.316227766016838 1 0 1 1
within-host 8-NEP 0.316227766016838 0 2 0 2
within-host 8-NS1 0.316227766016838 0 2 0 2
within-host 1-PB2 0.00316227766016838 448 219 0.671664167916042 667
within-host 2-PB1 0.00316227766016838 249 164 0.602905569007264 413
within-host 3-PA 0.00316227766016838 370 168 0.687732342007435 538
within-host 4-HA 0.00316227766016838 287 156 0.647855530474041 443
within-host 5-NP 0.00316227766016838 177 140 0.558359621451104 317
within-host 6-NA 0.00316227766016838 221 94 0.701587301587302 315
within-host 7-M1 0.00316227766016838 91 52 0.636363636363636 143
within-host 7-M2 0.00316227766016838 29 23 0.557692307692308 52
within-host 8-NEP 0.00316227766016838 59 26 0.694117647058824 85
within-host 8-NS1 0.00316227766016838 149 67 0.689814814814815 216
within-host 1-PB2 0.01 174 96 0.644444444444444 270
within-host 2-PB1 0.01 134 136 0.496296296296296 270
within-host 3-PA 0.01 162 92 0.637795275590551 254
within-host 4-HA 0.01 166 140 0.542483660130719 306
within-host 5-NP 0.01 123 99 0.554054054054054 222
within-host 6-NA 0.01 127 52 0.709497206703911 179
within-host 7-M1 0.01 35 28 0.555555555555556 63
within-host 7-M2 0.01 27 14 0.658536585365854 41
within-host 8-NEP 0.01 44 25 0.63768115942029 69
within-host 8-NS1 0.01 91 44 0.674074074074074 135
within-host 1-PB2 0.0316227766016838 65 45 0.590909090909091 110
within-host 2-PB1 0.0316227766016838 28 41 0.405797101449275 69
within-host 3-PA 0.0316227766016838 43 36 0.544303797468354 79
within-host 4-HA 0.0316227766016838 41 35 0.539473684210526 76
within-host 5-NP 0.0316227766016838 48 28 0.631578947368421 76
within-host 6-NA 0.0316227766016838 23 22 0.511111111111111 45
within-host 7-M1 0.0316227766016838 14 8 0.636363636363636 22
within-host 7-M2 0.0316227766016838 8 2 0.8 10
within-host 8-NEP 0.0316227766016838 10 6 0.625 16
within-host 8-NS1 0.0316227766016838 17 8 0.68 25
within-host 1-PB2 0.1 12 17 0.413793103448276 29
